,Region name,Image name,JI,Dice,Area Ratio,Recall,Precision,TP,TN,FP,FN,Centre Correct,IMAGE_CENTER_LATITUDE,IMAGE_CENTER_LONGITUDE,SOLAR_LONGITUDE,START_TIME,map_scale,north_azimuth,# of tiles,lat_IND,lon_IND,roi_name,minimal_distance,lat_WORD,lon_WORD,time,MY,Centre Correct Fraction,Centre Correct Count,Centre P4 Count
ESP_012225_0980,Albany,ESP_012225_0980,0.2812206494427106,0.43898863098254376,0.5510811812335007,0.6177919220253428,0.34045350214624065,3437941.0,50273504.0,6660181.0,2126944.0,0.0,-81.9461,60.4644,221.812,2009-03-06 01:35:09,0.5,108.57480890000002,144.0,-81.9461,60.4644,Albany,2.0615561566296168,-81.93,60.4,2009-03-06 01:35:09,29,0.9254884143571104,2037.0,2201.0
ESP_012291_0980,Albany,ESP_012291_0980,0.2572261362562629,0.40919629148376535,0.47121575404662586,0.638790220147014,0.30100801526418536,3381093.0,49354024.0,7851475.0,1911870.0,0.0,-81.9366,60.4442,225.013,2009-03-11 05:00:23,0.5,110.3673834,144.0,-81.9366,60.4442,Albany,1.0114771820340105,-81.93,60.4,2009-03-11 05:00:23,29,0.943561872909699,2257.0,2392.0
ESP_012304_0980,Albany,ESP_012304_0980,0.2869705249028676,0.4459628551703254,0.5751865914526624,0.6106494137633731,0.3512373548751211,2970454.0,52147252.0,5486659.0,1893964.0,0.0,-81.94,60.4432,225.645,2009-03-12 05:19:05,0.5,105.1251398,144.0,-81.94,60.4432,Albany,1.3058583311617622,-81.93,60.4,2009-03-12 05:19:04,29,0.9307458143074582,2446.0,2628.0
ESP_012436_0980,Albany,ESP_012436_0980,0.2574586891564821,0.4094904928116381,0.5378001016767047,0.585454074402472,0.3148572607406905,2097052.0,46560664.0,4563274.0,1484872.0,0.0,-81.9405,60.4513,232.092,2009-03-22 12:10:02,0.5,109.0455899,126.0,-81.9405,60.4513,Albany,1.4216140308553435,-81.93,60.4,2009-03-22 12:10:02,29,0.9183505154639175,2227.0,2425.0
ESP_012647_0980,Albany,ESP_012647_0980,0.2622150585271393,0.41548396488489736,1.3230863688644183,0.3647551505402728,0.48260256765292386,1284370.0,57600488.0,1376971.0,2236814.0,0.0,-81.9383,60.4502,242.477,2009-04-07 22:46:33,0.5,109.82571000000002,144.0,-81.9383,60.4502,Albany,1.2157136622007607,-81.93,60.4,2009-04-07 22:46:33,29,0.6305847076461769,2103.0,3335.0
ESP_012038_0930,Atka,ESP_012038_0930,0.028595146512761356,0.05560039483819622,0.1390335095011277,0.22775341386921313,0.031665356431099516,489315.0,95718232.0,14963377.0,1659127.0,0.0,-86.9844,169.815,212.826,2009-02-19 11:51:15,0.25,153.9635944,270.0,-86.9844,169.815,Atka,0.8359374716708894,-86.98,169.7,2009-02-19 11:51:15,29,0.4262295081967213,78.0,183.0
ESP_012671_0930,Atka,ESP_012671_0930,0.037290835874579716,0.07190044408931538,0.11545277204370694,0.3473348809686376,0.0401007748353002,76306.0,21489436.0,1826550.0,143384.0,0.0,-86.985,169.84900000000002,243.66099999999997,2009-04-09 19:37:46,0.5,154.1040705,54.0,-86.985,169.84900000000005,Atka,1.038921729165133,-86.98,169.7,2009-04-09 19:37:46,29,0.5839080459770115,254.0,435.0
ESP_012816_0930,Atka,ESP_012816_0930,0.03333533487297922,0.06451987800664322,0.10567453841492888,0.3375363044098458,0.035668993166791375,72171.0,29163226.0,1951183.0,141646.0,0.0,-86.9846,169.826,250.83,2009-04-21 02:47:44,0.5,152.8069654,72.0,-86.9846,169.826,Atka,0.9015946536986954,-86.98,169.7,2009-04-21 02:47:44,29,0.5815899581589958,278.0,478.0
ESP_011420_0930,Bilbao,ESP_011420_0930,0.4135897775626622,0.5851623775545143,1.4087996735742037,0.5002623760073495,0.7047694720206095,1376610.0,21612824.0,576667.0,1375166.0,0.0,-87.0093,127.31700000000001,184.304,2009-01-02 08:07:26,1.0,157.3114044,54.0,-87.0093,127.317,Bilbao,0.2947135613464393,-87.008,127.273,2009-01-02 08:07:26,29,0.8535483870967742,1323.0,1550.0
ESP_011565_0930,Bilbao,ESP_011565_0930,0.20230107691201415,0.3365231567979686,1.6801266397152546,0.2684097305808348,0.4509623387076547,1977772.0,52722240.0,2407898.0,5390709.0,0.0,-87.0128,127.469,190.81400000000002,2009-01-13 15:17:34,0.5,156.5209641,144.0,-87.0128,127.469,Bilbao,1.2613631260772409,-87.008,127.273,2009-01-13 15:17:34,29,0.463452566096423,298.0,643.0
ESP_011776_0930,Bilbao,ESP_011776_0930,0.09047768680383877,0.16594137448025237,0.14135471157881496,0.6699386511191676,0.09469898480445028,2023612.0,72168640.0,19345276.0,996981.0,0.0,-87.0088,127.294,200.49400000000003,2009-01-30 01:52:56,0.5,156.7536124,218.0,-87.0088,127.294,Bilbao,0.15155502469159549,-87.008,127.273,2009-01-30 01:52:56,29,0.8948374760994264,468.0,523.0
ESP_012211_0930,Bilbao,ESP_012211_0930,0.03202973275261339,0.06207133924280532,0.0488859617795164,0.6658941841442184,0.03255287763527652,1853627.0,132005976.0,55088404.0,930039.0,0.0,-87.0138,127.477,221.13400000000001,2009-03-04 23:22:24,0.25,154.66885119999995,455.0,-87.0138,127.477,Bilbao,1.3532876472461368,-87.008,127.273,2009-03-04 23:22:24,29,0.8820224719101124,157.0,178.0
