,tile_id,Region,GroundTruth,ClassifierConf
ESP_011296_0975_0,APF00006ox,Wellington,1.0,0.9994156360626221
ESP_011296_0975_1,APF00006ms,Wellington,1.0,0.9993771910667419
ESP_011296_0975_2,APF00006oe,Wellington,1.0,0.9971333742141724
ESP_011296_0975_3,APF00006mk,Wellington,1.0,0.9994673132896423
ESP_011296_0975_4,APF00006ov,Wellington,1.0,0.9591566920280457
ESP_011296_0975_5,APF00006nc,Wellington,1.0,0.9982866644859314
ESP_011296_0975_6,APF00006oc,Wellington,1.0,0.9922131896018982
ESP_011296_0975_7,APF00006oj,Wellington,1.0,0.9995601773262024
ESP_011296_0975_8,APF00006o4,Wellington,1.0,0.9994476437568665
ESP_011296_0975_9,APF00006o2,Wellington,1.0,0.9997605681419373
ESP_011296_0975_10,APF00006mq,Wellington,1.0,0.9994773268699646
ESP_011296_0975_11,APF00006on,Wellington,1.0,0.9992732405662537
ESP_011296_0975_12,APF00006or,Wellington,1.0,0.999972939491272
ESP_011296_0975_13,APF00006ol,Wellington,1.0,0.9998611211776733
ESP_011296_0975_14,APF00006mo,Wellington,1.0,0.9991217255592346
ESP_011296_0975_15,APF00006nu,Wellington,1.0,0.999961256980896
ESP_011296_0975_16,APF00006nb,Wellington,1.0,0.9971110820770264
ESP_011296_0975_17,APF00006o5,Wellington,1.0,0.9981100559234619
ESP_011296_0975_18,APF00006n0,Wellington,1.0,0.997511625289917
ESP_011296_0975_19,APF00006oo,Wellington,1.0,0.9973996877670288
ESP_011296_0975_20,APF00006nd,Wellington,1.0,0.9971153736114502
ESP_011296_0975_21,APF00006od,Wellington,1.0,0.9919135570526123
ESP_011296_0975_22,APF00006og,Wellington,1.0,0.9971219897270203
ESP_011296_0975_23,APF00006nq,Wellington,1.0,0.9966559410095215
ESP_011296_0975_24,APF00006ot,Wellington,1.0,0.9965254664421082
ESP_011296_0975_25,APF00006n9,Wellington,1.0,0.9905169606208801
ESP_011296_0975_26,APF00006o6,Wellington,1.0,0.9891985058784485
ESP_011296_0975_27,APF00006n2,Wellington,1.0,0.9906789660453796
ESP_011296_0975_28,APF00006n8,Wellington,1.0,0.9891800880432129
ESP_011296_0975_29,APF00006nt,Wellington,1.0,0.9893858432769775
ESP_011296_0975_30,APF00006mv,Wellington,1.0,0.980010986328125
ESP_011296_0975_31,APF00006o3,Wellington,1.0,0.980083703994751
ESP_011296_0975_32,APF00006nm,Wellington,1.0,0.982058048248291
ESP_011296_0975_33,APF00006mx,Wellington,1.0,0.9849185943603516
ESP_011296_0975_34,APF00006n1,Wellington,1.0,0.991744339466095
ESP_011296_0975_35,APF00006mm,Wellington,1.0,0.9929530024528503
ESP_011296_0975_36,APF00006mz,Wellington,1.0,0.9885942935943604
ESP_011296_0975_37,APF00006nn,Wellington,1.0,0.9997100234031677
ESP_011296_0975_38,APF00006n4,Wellington,1.0,0.9994857311248779
ESP_011296_0975_39,APF00006nl,Wellington,1.0,0.9992677569389343
ESP_011296_0975_40,APF00006nv,Wellington,1.0,0.9996802806854248
ESP_011296_0975_41,APF00006nh,Wellington,1.0,0.9996495246887207
ESP_011296_0975_42,APF00006mt,Wellington,1.0,0.9999771118164062
ESP_011296_0975_43,APF00006ok,Wellington,1.0,0.9999579191207886
ESP_011296_0975_44,APF00006mr,Wellington,1.0,0.9999561309814453
ESP_011296_0975_45,APF00006op,Wellington,1.0,0.9998663663864136
